  time    PosLHipYaw    VelLHipYaw     ForLHipYaw    PosLHipPitch    VelLHipPitch    ForLHipPitch    PosLHipRoll    VelLHipRoll    ForLHipRoll      PosLKnee      VelLKnee     ForLKnee    PosLAnklePitch    VelLAnklePitch    ForLAnklePitch    PosLAnkleRoll    VelLAnkleRoll    ForLAnkleRoll    PosRHipYaw    VelRHipYaw    ForRHipYaw    PosRHipPitch    VelRHipPitch    ForRHipPitch    PosRHipRoll    VelRHipRoll    ForRHipRoll      PosRKnee      VelRKnee     ForRKnee    PosRAnklePitch    VelRAnklePitch    ForRAnklePitch    PosRAnkleRoll    VelRAnkleRoll    ForRAnkleRoll
------  ------------  ------------  -------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------  ------------  ------------  ------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------
  0      9.01446e-05   0                              0                0                            -0.00118489     0                           -1.14595e-05   0                             -0.000368504       0                                 -1.43191e-08      0                             -5.28712e-09   0                            -0.000157878      0                             0.000383347     0                          -2.15368e-08   0                             -0.00041347        0                                 -1.43191e-08      0
  0.05   3.07201e-05  -0.000715358    0.0120699       8.10772e-05      0.00649626      0.00365831   -0.000652091    0.00574618       0.0682992  -3.98047e-06   9.49019e-05    0.0759511      -0.000122894       0.00298582          0.117368       1.00802e-05      5.47152e-05     -0.00402989   -3.52823e-08   9.49309e-07   -0.0226318     -0.000237077      0.00290228      -0.0516921    0.0011474       0.0250019       -0.64944   -6.63567e-09   3.84171e-07    0.0365815      -0.00011374        0.00381046           0.101985      1.00802e-05      5.47152e-05     -0.00402989
  0.1    9.53301e-06  -0.000255349    0.000435305     0.000554283      0.0108463       0.136746     -0.000507965    0.00126391      -0.0160319  -1.24425e-06   3.11062e-05    0.137827       -3.28235e-05       0.00112168          0.13713        9.83372e-06     -5.39001e-05     -0.0083456    -9.02514e-09   5.58793e-07   -0.00722465     5.75392e-05      0.00733323       0.104064     0.00287486      0.0410834       -0.453117  -3.4197e-09   -8.76025e-07    0.10923         9.97004e-06       0.00170404           0.125578      9.83372e-06     -5.39001e-05     -0.0083456
  0.15   1.99335e-06  -9.05225e-05    0.00446068      0.00108527       0.00983017      0.252492     -0.000489874   -0.000100199     -0.0826248  -2.4261e-07    1.4063e-05     0.190904        1.34669e-06       0.000422448         0.152341       6.80704e-06     -6.76138e-05     -0.011301     -2.41585e-09  -1.86265e-07   -0.00876352     0.000422393      0.00672481       0.237993     0.00514934      0.0475823       -0.213259  -1.38534e-08  -1.35624e-06    0.17059         7.08983e-05       0.000927972          0.143347      6.80704e-06     -6.76138e-05     -0.011301
  0.2   -6.87482e-07  -3.30304e-05   -0.0884736      -0.121732        -2.83173        30            -0.000919921    0.000989426      0.0472883   0.314159      6.2832        10.7606         -0.31354          -6.27978             4.45417       -0.000460519     -0.0201849        0.000236352  -9.35256e-09  -7.74094e-07    0.232297      -0.128787        -2.61438         29.9817       0.00864247     -0.00602063      -0.375123   0.314159      6.28321       10.7556         -0.313399         -6.27574              4.46512      -0.000460519     -0.0201849        0.000236352
  0.25  -1.5897e-06   -1.10544e-05    0.205706       -0.30239         -3.9608         27.5311        0.0001229      0.0099376       -0.0429291   0.628319      6.28322        9.5163         -0.625867         -6.24692             4.5074         0.000226177      0.00964032      -0.0131552     3.36297e-09   4.68072e-07    0.114353      -0.328623        -4.46151         29.5064       0.0157075       0.153411        -0.336878   0.628319      6.28318       10.3622         -0.625451         -6.23763              4.77729       0.000226177      0.00964032      -0.0131552
  0.3   -1.88157e-06  -2.72749e-06    0.0943839      -0.524231        -4.94302        19.5889        0.000150761   -0.00589435      -0.212231    0.942478      6.28321        2.79707        -0.908077         -4.05785             2.94097        0.000465281      0.00141978      -0.0171272    -5.84464e-10  -5.04793e-07    0.0677577     -0.563072        -5.06212         26.1122       0.0194231       0.0199139       -0.345455   0.942478      6.28319        5.43817        -0.907431         -4.06045              3.90392       0.000465281      0.00141978      -0.0171272
  0.35  -1.95654e-06  -6.9108e-07    -0.0429711      -0.795182        -5.72237         9.62495      -0.000338801   -0.0108952       -0.19807     1.25664       6.28319       -4.40853        -1.02823          -1.44439             1.46261        0.000430944     -0.00174793      -0.0193804    -4.73221e-09   0              0.0335968     -0.841309        -5.85322         12.17         0.0192246      -0.027974        -0.122071   1.25664       6.28317       -4.00647        -1.02782          -1.45242              1.95184       0.000430944     -0.00174793      -0.0193804
  0.4    0.00584282    0.784544       0.287514       -1.06942         -4.58126       -12.8699       -0.00019809     0.289648        -0.0465333   1.56902       5.98693      -17.0334         -1.07215          -0.568319           -2.86998       -0.00014091      -0.0226611        0.00710245   -0.0161973    -0.675688      -2.41792       -1.07958         -3.71557        -14.5052       0.022784        0.249309        -3.01703    1.5608        5.55361      -21.5044         -1.07159          -0.458646            -5.079        -0.00014091      -0.0226611        0.00710245
  0.45   0.0385341     0.457148       1.36494        -1.19108         -0.666762       -5.10483      -0.00781983    -0.0401589       -0.762934    1.85758       5.94185      -29.5325         -1.08688          -0.22986           -10.4931        -0.000380012     -0.0291141        0.0746414    -0.0446524    -0.288119      -4.16619       -1.17426         -0.585533       -11.158        0.0614007       0.927347        -6.64159    1.81989       5.47588      -30              -1.08664          -0.164509           -10.8175       -0.000380012     -0.0291141        0.0746414
  0.5    0.0375317    -0.537226       1.02456        -1.12361          2.77496        19.4123       -0.0124672     -0.131986        -2.65752     2.11097       3.50147       -8.62514        -1.09139          -0.0201702          -3.20818       -0.000881406     -0.00679489      -0.113151     -0.0416266     0.485185      -1.98528       -1.12761          3.45121         15.0631       0.0961669      -0.0879989       -0.724211   2.08944       3.98722      -13.7303         -1.09106          -0.0327349           -3.66168      -0.000881406     -0.00679489      -0.113151
  0.55   0.0126884    -0.331767       0.314545       -0.874911         6.07904       -12.4933       -0.00537744     0.103796        -0.744456    1.92089      -6.28322       16.4968         -0.778082          6.26338            -0.496421      -0.000490622      0.0146102       -0.117224     -0.0141478     0.374625       1.74609       -0.852559         6.231          -10.442        0.0578137      -0.746565         4.95974    1.91215      -6.28307       17.4054         -0.777641          6.2727              -0.113606     -0.000490622      0.0146102       -0.117224
  0.6    0.00287493   -0.117828       0.2822         -0.579364         5.78739        -3.34246      -0.00219328     0.0410039        1.19249     1.60673      -6.28317      -18.0839         -0.465042          6.26037            -2.94857       -9.46008e-05      0.00554472       0.074268     -0.00306851    0.132992      -0.662542      -0.545005         6.04388         -1.56046      0.0293706      -0.472538         0.546744   1.59799      -6.28319      -18.101          -0.464229          6.26351             -2.70825      -9.46008e-05      0.00554472       0.074268
  0.65  -0.000593507  -0.0413179     -0.269391       -0.291873         5.84584        -5.31579      -0.000851105    0.0217099        0.612694    1.29257      -6.28322      -14.4556         -0.181561          4.09503            -2.24024        6.04499e-05      0.00322167       0.0554911     0.000844488   0.0465787     -0.00742921    -0.250464         5.53475         -3.93066      0.00992802     -0.261098        -0.600001   1.28383      -6.28324      -14.2749         -0.181099          4.08904             -2.10577       6.04499e-05      0.00322167       0.0554911
  0.7   -0.00179324   -0.0139697      0.127425       -0.0222917        4.75858        20.941         0.000310982   -0.00987491       0.0497135   0.978407     -6.28319        1.01218        -0.0592569         1.47214             2.15595        0.000151932     -0.0178148        0.0096273     0.00219513    0.0156908      0.520217       0.00825014       4.87697         24.4564      -0.00419853     -0.283225        -1.5598     0.969674     -6.28319        2.90812        -0.0591015         1.47535              2.75214       0.000151932     -0.0178148        0.0096273
  0.75  -0.00218242   -0.00420628     0.361678        0.172436         3.26182        30            -0.000368445   -0.0120817       -0.249174    0.664248     -6.28317        8.12096        -0.0158108         0.51949             3.35085       -0.000370754     -0.00701445      -0.0469127     0.00263041    0.00466607     0.482696       0.202738         3.19261         30           -0.012339       -0.102769        -1.84084    0.655515     -6.28318        8.27137        -0.0155828         0.519929             3.38749      -0.000370754     -0.00701445      -0.0469127
  0.8   -0.00228266   -0.000733976    0.337394        0.299643         1.97036        30            -0.000902994   -0.0097927       -0.470792    0.350088     -6.28322       10.2586         -0.000593037       0.180102            3.55407       -0.000602197     -0.00304384      -0.0346157     0.00273944    0.00074613     0.476896       0.325328         1.86791         30           -0.0152484      -0.0255758       -2.00478    0.341355     -6.28321       10.3679         -0.00038743        0.179315             3.59         -0.000602197     -0.00304384      -0.0346157
